市場,ティッカー,ファンド名,カテゴリ,評価スコア,1年リターン(%),3年年率リターン(%),信託報酬(%),シャープレシオ,最大DD(1年)(%),AUM,RSI14,分配金利回り(%),ハイリスク,マッチ戦略数,マッチ戦略
US,HDV,iShares Core High Dividend ETF,高配当株式,21.0,16.6,15.3,,1.16,-3.2,13758382080,52.5,2.79,False,10,A-1_高リターンモメンタム | A-2_長期安定成長 | B-2_シャープレシオ優位 | B-3_低β安定リターン | C-1_低DD安定型 | C-2_分散効果優位 | D-1_大型高リターン | D-2_超大型安定資金 | E-1_強気ダイバージェンス | F-2_高配当インカム
JP,1306.T,NEXT FUNDS TOPIX Exchange Traded Fund,国内株式（TOPIX）,19.5,38.1,25.1,,1.07,-7.4,33643074420736,48.7,1.68,False,5,A-1_高リターンモメンタム | A-2_長期安定成長 | B-2_シャープレシオ優位 | D-1_大型高リターン | D-2_超大型安定資金
JP,1348.T,MAXIS TOPIX ETF,国内株式（TOPIX）,19.5,38.2,25.2,,1.08,-7.3,4794276118528,48.9,1.8,False,5,A-1_高リターンモメンタム | A-2_長期安定成長 | B-2_シャープレシオ優位 | D-1_大型高リターン | D-2_超大型安定資金
JP,1577.T,NEXT FUNDS Nomura Japan Equity High Dividend 70 ETF,国内株式（高配当）,18.5,45.0,32.9,,1.53,-7.0,223924994048,50.6,2.56,False,5,A-1_高リターンモメンタム | A-2_長期安定成長 | B-2_シャープレシオ優位 | D-1_大型高リターン | F-2_高配当インカム
JP,1320.T,iFreeETF Nikkei225 (Yearly Dividend Type),国内株式（日経225）,17.5,47.9,27.0,,1.02,-9.2,7156005863424,46.1,1.17,False,4,A-1_高リターンモメンタム | B-2_シャープレシオ優位 | D-1_大型高リターン | D-2_超大型安定資金
JP,1321.T,NEXT FUNDS Nikkei 225 Exchange Traded Fund,国内株式（日経225）,17.5,47.7,27.0,,1.04,-9.2,15783481573376,45.9,1.18,False,4,A-1_高リターンモメンタム | B-2_シャープレシオ優位 | D-1_大型高リターン | D-2_超大型安定資金
JP,1330.T,Amova Exchange Traded Index Fund 225,国内株式（日経225）,17.5,47.9,27.1,,1.01,-9.1,7745407811584,46.0,1.17,False,4,A-1_高リターンモメンタム | B-2_シャープレシオ優位 | D-1_大型高リターン | D-2_超大型安定資金
US,DVY,iShares Select Dividend ETF,高配当株式,17.0,15.9,14.4,,0.88,-4.6,22861381632,46.6,3.29,False,9,A-1_高リターンモメンタム | A-2_長期安定成長 | B-2_シャープレシオ優位 | C-1_低DD安定型 | D-1_大型高リターン | D-2_超大型安定資金 | E-1_強気ダイバージェンス | E-2_押し目サポート | F-2_高配当インカム
US,PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,コモディティ（総合）,17.0,34.2,12.7,,0.65,-0.3,5473554944,67.4,3.42,False,6,A-1_高リターンモメンタム | A-2_長期安定成長 | A-3_相対モメンタム上昇 | D-1_大型高リターン | D-2_超大型安定資金 | I-2_コモディティ実物資産
JP,1478.T,iShares MSCI Japan High Dividend ETF,国内株式（高配当）,16.5,38.7,30.2,,1.36,-4.9,177826004992,52.7,2.09,False,4,A-1_高リターンモメンタム | A-2_長期安定成長 | B-2_シャープレシオ優位 | D-1_大型高リターン
